City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Ilulissat,69.22,-51.1,53.6,46,10,2.24,GL,1597700849
85,Kununurra,-15.77,128.73,66.2,85,0,1.12,AU,1597700741
86,Namatanai,-3.67,152.43,81.3,75,3,10.31,PG,1597700849
87,Nortelândia,-14.45,-56.8,90.81,23,34,4.27,BR,1597700849
88,Mahébourg,-20.41,57.7,69.8,77,40,8.05,MU,1597700849
89,Hilo,19.73,-155.09,84.2,58,75,10.29,US,1597700850
90,Portoferraio,42.81,10.31,80.01,68,34,3.69,IT,1597700850
91,Ancud,-41.87,-73.82,48.2,70,75,11.41,CL,1597700850
92,Rawson,-43.3,-65.1,53.37,40,100,21.27,AR,1597700850
93,Kahului,20.89,-156.47,87.8,48,20,21.92,US,1597700850
94,Vao,-22.67,167.48,70.2,82,55,17.85,NC,1597700850
95,Tual,-5.67,132.75,78.17,78,34,17.58,ID,1597700850
96,Sur,22.57,59.53,87.98,59,70,11.01,OM,1597700851
97,Jaciara,-15.97,-54.97,86.79,23,4,3.4,BR,1597700851
98,Altay,47.87,88.12,60.57,33,0,5.77,CN,1597700851
99,Dunedin,-45.87,170.5,46.0,73,57,35.01,NZ,1597700851
100,São Filipe,14.9,-24.5,78.17,85,62,4.97,CV,1597700851
101,Ubari,26.59,12.78,85.77,18,0,11.48,LY,1597700851
102,Tungor,53.38,142.96,56.16,81,92,1.72,RU,1597700851
103,Lapua,62.97,23.01,39.2,93,92,2.26,FI,1597700852
104,Ledyard Center,41.44,-72.01,75.99,73,1,13.87,US,1597700852
105,Dikson,73.51,80.55,50.13,93,76,13.0,RU,1597700852
106,Martapura,-3.42,114.85,77.0,94,90,1.3,ID,1597700852
107,Thinadhoo,0.53,72.93,84.0,68,99,5.32,MV,1597700852
108,Gao,16.64,1.64,89.04,46,43,16.55,ML,1597700852
109,Coquimbo,-29.95,-71.34,51.8,81,90,5.82,CL,1597700852
